Name of Space Object,State/Organization,Date of Launch,Status,Date of Decay or Change,Function of Space Object,,,On-Board Computing Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,QTY,Block,Model,Core Architecture,,,,,Performance Parameters,,,,,Accelerators,Memory Subsystem,,,,,,Power & Thermal,,,,,,I/O & Peripheral Interfaces,Package Type,Development & Ecosystem,
,,,,,,,,,Processor Type,Bit Width,ISA,Pipeline Depth,TRL,Clock Frequency (MHz),MIPS,FLOPS,Core Count,Cache Memory,,RAM,ROM,Memory Interface,ECC Support,Memory Protection,Bootloader Support,,Operating Voltage,Power Consumption,Dynamic Power Scaling,Thermal Range,TDP,Communication Buses,,RTOS/OS,Lifecycle
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Russian Federation,8/21/2025,in orbit,,Assignments on behalf of the Ministry of Defence of the Russian Federation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Russian Federation,8/21/2025,in orbit,,Assignments on behalf of the Ministry of Defence of the Russian Federation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Russian Federation,8/21/2025,in orbit,,Assignments on behalf of the Ministry of Defence of the Russian Federation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Russian Federation,8/21/2025,in orbit,,Assignments on behalf of the Ministry of Defence of the Russian Federation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Russian Federation,8/20/2025,in orbit,,Fundamental research,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EUMETSAT,8/13/2025,in orbit,,"Meteorological, Earth observation and climate monitoring",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Russian Federation,7/25/2025,in orbit,,Technological applications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Russian Federation,7/25/2025,in orbit,,Technological applications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Russian Federation,7/25/2025,in orbit,,Technological applications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Russian Federation,7/25/2025,in orbit,,Technological applications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Russian Federation,7/25/2025,in orbit,,Technological applications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Russian Federation,7/25/2025,in orbit,,Scientific applications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Russian Federation,7/25/2025,in orbit,,Earth remote sensing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Russian Federation,7/25/2025,in orbit,,Geophysical applications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Russian Federation,7/25/2025,in orbit,,Technological applications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
